expediente,pueblo,scall_col,territorial,fecha_instalacion,alcaldia,instalado,latitud,longitud
1168-HESOJO-TLN-24,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,NO APLICA,26/03/2024,TLALPAN,Programa SCALL,19.28157,-99.2402
1168-ROCOER-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,16/05/2024,IZTACALCO,Programa SCALL,19.412635,-99.073041
1168-RUREJO-TLC-24,OJO DE AGUA,OJO DE AGUA,NO APLICA,25/06/2024,TLAHUAC,Programa SCALL,19.28562,-99.012938
1168-SURUAL-XOO-24,CERRILLOS SEGUNDA SECCI?ÙN,CERRILLOS SEGUNDA SECCI?ÙN,NO APLICA,19/04/2024,XOCHIMILCO,Programa SCALL,19.24481,-99.0156
1168-TRGAMA-VEA-24,MAGDALENA MIXHUCA (PBLO),MAGDALENA MIXHUCA (PBLO),NO APLICA,15/06/2024,VENUSTIANO CARRANZA,Programa SCALL,19.410992,-99.119026
1169-COORJO-TLN-24,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,NO APLICA,26/03/2024,TLALPAN,Programa SCALL,19.28201,-99.242
1169-PAMOMA-TLC-24,LAS ARBOLEDAS,LAS ARBOLEDAS,NO APLICA,27/03/2024,TLAHUAC,Programa SCALL,19.307464,-99.049285
1169-RUSAAL-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,19/04/2024,XOCHIMILCO,Programa SCALL,19.2439,-99.016
1169-VAALAL-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,20/06/2024,IZTACALCO,Programa SCALL,19.403396,-99.060626
116-LOCRMA-XOO-24,CERRILLOS III,CERRILLOS III,NO APLICA,21/05/2024,XOCHIMILCO,Programa SCALL,19.24477,-99.0291
116-RAGADA-IZO-24,JARDINES TECMA,JARDINES TECMA,NO APLICA,02/04/2024,IZTACALCO,Programa SCALL,19.388077,-99.116422
116-ROLOMA-TLC-24,LA NOPALERA,LA NOPALERA,NO APLICA,21/03/2024,TLAHUAC,Programa SCALL,19.298963,-99.053693
116-UGGOMA-TLN-24,AMPLIACI?ÙN MIGUEL HIDALGO 3A SECC,MIRADOR II,NO APLICA,20/03/2024,TLALPAN,Programa SCALL,19.26838,-99.2238
1170-GAMABE-VEA-24,FELIPE ANGELES,FELIPE ANGELES,NO APLICA,11/06/2024,VENUSTIANO CARRANZA,Programa SCALL,19.453031,-99.111265
1170-GARAJO-TLN-24,PEDREGAL DE SN NICOLAS 2A SECC,PEDREGAL DE SN NICOLAS 2A SECC,NO APLICA,23/03/2024,TLALPAN,Programa SCALL,19.28882,-99.2409
1170-GOLOCL-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,19/04/2024,IZTACALCO,Programa SCALL,19.404059,-99.05936
1170-MEMEMA-TLC-24,SAN FRANCISCO TLALTENCO (PBO),SAN FRANCISCO TLALTENCO (PBO),NO APLICA,30/05/2024,TLAHUAC,Programa SCALL,19.297273,-99.010527
1170-ORHEES-XOO-24,CERRILLOS SEGUNDA SECCI?ÙN,CERRILLOS SEGUNDA SECCI?ÙN,NO APLICA,30/04/2024,XOCHIMILCO,Programa SCALL,19.2439,-99.016
1171-GOGOJU-TLN-24,PEDREGAL DE SN NICOLAS 3A SECC,PEDREGAL DE SN NICOLAS 3A SECC,NO APLICA,09/05/2024,TLALPAN,Programa SCALL,19.2853,-99.2406
1171-HEALHE-XOO-24,LAS MESITAS,LAS MESITAS,NO APLICA,11/04/2024,XOCHIMILCO,Programa SCALL,19.24364,-99.0156
1171-VAMUAN-TLC-24,MIGUEL HIDALGO,MIGUEL HIDALGO,NO APLICA,29/04/2024,TLAHUAC,Programa SCALL,19.291979,-99.041856
1172-CANAMA-IZA-24,A?ÊO DE JUAREZ,A?ÊO DE JUAREZ,NO APLICA,15/05/2024,IZTAPALAPA,Programa SCALL,19.321529,-99.072573
1172-GATECA-XOO-24,SAN LORENZO ATEMOAYA (PBO),SAN LORENZO ATEMOAYA (PBO),NO APLICA,17/05/2024,XOCHIMILCO,Programa SCALL,19.24219,-99.1029
1172-IRALEL-IZO-24,AGRICOLA PANTITLAN (SECCIONES 1 A 5),AGRICOLA PANTITLAN (SECCIONES 1 A 5),NO APLICA,02/05/2024,IZTACALCO,Programa SCALL,19.402189,-99.059924
1172-POMAKI-TLN-24,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,PEDREGAL DE SAN NICOLAS 4A SECCI?ÙN,NO APLICA,09/05/2024,TLALPAN,Programa SCALL,19.27811,-99.2394
