fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2022-03-17,6557,1082,5856,987,0.16501448833307916,0.16854508196721313
2022-03-18,6259,751,5615,711,0.11998721840549607,0.12662511130899376
2022-03-19,2778,193,2541,185,0.06947444204463643,0.07280598189689098
2022-03-20,1589,201,1467,185,0.12649465072372562,0.12610770279481937
2022-03-21,1911,147,1681,127,0.07692307692307693,0.07555026769779893
2022-03-22,6955,974,6200,895,0.1400431344356578,0.1443548387096774
2022-03-23,5948,598,5345,556,0.10053799596503028,0.104022450888681
2022-03-24,5890,679,5263,639,0.11528013582342954,0.12141364240927228
2022-03-25,6084,559,5524,528,0.09188034188034187,0.09558291093410572
2022-03-26,2778,271,2512,261,0.09755219582433404,0.10390127388535032
2022-03-27,1823,110,1647,98,0.06034009873834339,0.05950212507589557
2022-03-28,6254,611,5698,567,0.0976974736168852,0.09950859950859953
2022-03-29,5546,599,4946,551,0.10800576992426976,0.11140315406389
2022-03-30,5318,538,4800,501,0.101165851823994,0.104375
2022-03-31,5048,506,4543,480,0.1002377179080824,0.10565705480959718
2022-04-01,4869,454,4423,422,0.09324296570137604,0.095410354962695
2022-04-02,2423,193,2220,186,0.07965332232769294,0.08378378378378379
2022-04-03,1330,130,1118,113,0.09774436090225563,0.10107334525939175
2022-04-04,5101,519,4516,462,0.10174475593020976,0.10230292294065545
2022-04-05,4516,529,4066,478,0.11713906111603188,0.117560255779636
2022-04-06,4492,480,3974,457,0.10685663401602848,0.11499748364368396
2022-04-07,4756,471,4270,442,0.09903280067283432,0.10351288056206089
2022-04-08,4234,346,3801,320,0.08171941426547001,0.08418837148118916
2022-04-09,2705,120,2384,113,0.04436229205175601,0.0473993288590604
2022-04-10,780,27,681,22,0.03461538461538462,0.03230543318649045
2022-04-11,5137,205,4672,182,0.03990656024917267,0.0389554794520548
2022-04-12,4563,296,4127,263,0.06486960333114179,0.06372667797431548
2022-04-13,4118,262,3732,237,0.06362311801845556,0.0635048231511254
2022-04-14,1094,105,999,98,0.0959780621572212,0.0980980980980981
2022-04-15,866,90,805,88,0.10392609699769054,0.1093167701863354
2022-04-16,2760,189,2536,157,0.06847826086956521,0.06190851735015772
2022-04-17,1317,40,1198,31,0.03037205770690964,0.02587646076794658
2022-04-18,4310,389,3823,341,0.0902552204176334,0.08919696573371698
2022-04-19,4082,479,3688,416,0.11734443900048996,0.11279826464208242
2022-04-20,4424,300,3948,271,0.06781193490054249,0.06864235055724417
2022-04-21,3345,254,3078,232,0.07593423019431988,0.07537361923326835
2022-04-22,2942,207,2614,195,0.07036029911624746,0.07459831675592961
2022-04-23,1848,61,1700,56,0.03300865800865801,0.03294117647058824
2022-04-24,665,29,569,23,0.04360902255639098,0.04042179261862917
2022-04-25,4218,362,3777,312,0.0858226647700332,0.08260524225575853
2022-04-26,2948,263,2600,246,0.08921302578018996,0.09461538461538462
2022-04-27,3719,404,3324,359,0.1086313525141167,0.10800240673886884
2022-04-28,3069,218,2722,209,0.07103290974258716,0.07678177810433505
2022-04-29,2747,258,2447,242,0.0939206406989443,0.09889660809154066
2022-04-30,1423,59,1204,56,0.04146170063246662,0.04651162790697674
2022-05-01,600,17,512,17,0.02833333333333333,0.033203125
2022-05-02,3741,331,3334,309,0.08847901630580059,0.09268146370725856
2022-05-03,3162,243,2787,224,0.07685009487666034,0.08037316110513097
2022-05-04,2700,282,2452,259,0.10444444444444444,0.10562805872756934
