,cycleId,latitude_decimal,longitude_decimal,CO
362044,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.33
362045,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.44
362046,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.08
362047,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.56
362048,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.68
362049,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.49
362051,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.64
362052,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.14
362054,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.62
362055,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.73
362057,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.45
362058,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.17
362062,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.57
362063,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.37
362064,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.34
362065,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,1.61
362066,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.55
362067,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.4
362068,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.46
362069,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.65
362071,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.22
362072,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.58
362073,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.66
362076,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.67
362077,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.71
362083,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.55
362084,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.53
362087,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.52
362089,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,1.87
362092,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.6
362095,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,3.3
362097,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,1.41
362101,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.75
362102,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.51
362104,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,1.34
362106,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.61
362107,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.1
362110,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.69
362112,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,4.54
362113,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,2.94
362119,fff34e0f186eb3d2,19.39889578888889,-99.02464241666668,0.23
