attribute,average
mnima_del_punto_de_roco,-2.25
bulbo_hmedo,4.0
mxima_temperatura_de_bulbo_hmedo,4.166666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,4.0
ndice_de_calor,15.583333333333334
mxima_del_indice_de_calor,15.75
time,
aqi,63.66666666666666
aqi_alto,77.75
pm_1,13.833333333333334
alto_pm_1,17.583333333333332
pm_25,19.5
alto_pm_25,25.08333333333333
pm_10,22.0
alto_pm_10,32.416666666666664
temp,16.75
temp_alta,16.916666666666668
temp_baja,16.75
hum,31.25
alta_hum,31.5
hum_baja,29.58333333333333
punto_de_roco,-0.6666666666666666
mxima_del_punto_de_roco,-0.5
mnima_del_punto_de_roco,-1.25
bulbo_hmedo,5.333333333333333
mxima_temperatura_de_bulbo_hmedo,5.416666666666667
mnima_de_la_temperatura_de_bulbo_hmedo,4.833333333333333
ndice_de_calor,15.0
mxima_del_indice_de_calor,15.0
time,
aqi,88.16666666666667
aqi_alto,99.75
pm_1,20.5
alto_pm_1,23.5
pm_25,29.83333333333333
alto_pm_25,35.083333333333336
pm_10,33.833333333333336
alto_pm_10,44.75
temp,15.25
temp_alta,15.333333333333334
temp_baja,15.0
hum,51.333333333333336
alta_hum,51.75
hum_baja,49.75
punto_de_roco,5.083333333333333
mxima_del_punto_de_roco,5.25
mnima_del_punto_de_roco,4.833333333333333
bulbo_hmedo,8.666666666666666
mxima_temperatura_de_bulbo_hmedo,8.666666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,8.416666666666666
ndice_de_calor,14.0
mxima_del_indice_de_calor,14.083333333333334
time,
aqi,90.75
aqi_alto,102.91666666666669
pm_1,21.25
alto_pm_1,24.08333333333333
pm_25,31.0
alto_pm_25,36.333333333333336
pm_10,35.0
alto_pm_10,45.75
temp,14.0
temp_alta,14.0
temp_baja,14.0
hum,60.083333333333336
alta_hum,60.41666666666666
hum_baja,59.333333333333336
punto_de_roco,6.333333333333333
mxima_del_punto_de_roco,6.416666666666667
mnima_del_punto_de_roco,6.0
bulbo_hmedo,9.0
mxima_temperatura_de_bulbo_hmedo,9.0
mnima_de_la_temperatura_de_bulbo_hmedo,9.0
ndice_de_calor,13.083333333333334
mxima_del_indice_de_calor,13.166666666666666
time,
aqi,93.08333333333331
aqi_alto,105.5
pm_1,21.75
alto_pm_1,24.75
pm_25,32.166666666666664
alto_pm_25,37.333333333333336
pm_10,37.083333333333336
alto_pm_10,48.083333333333336
temp,13.083333333333334
temp_alta,13.166666666666666
temp_baja,13.0
hum,60.91666666666666
alta_hum,61.583333333333336
hum_baja,60.41666666666666
punto_de_roco,6.0
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,6.0
bulbo_hmedo,8.833333333333334
mxima_temperatura_de_bulbo_hmedo,9.0
mnima_de_la_temperatura_de_bulbo_hmedo,8.75
ndice_de_calor,12.5
mxima_del_indice_de_calor,12.583333333333334
time,
aqi,94.25
aqi_alto,106.91666666666669
pm_1,22.08333333333333
alto_pm_1,25.08333333333333
pm_25,32.583333333333336
alto_pm_25,37.91666666666666
pm_10,37.833333333333336
alto_pm_10,47.75
temp,12.333333333333334
temp_alta,12.416666666666666
temp_baja,12.166666666666666
hum,64.41666666666667
alta_hum,64.5
hum_baja,63.833333333333336
punto_de_roco,6.0
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,6.0
bulbo_hmedo,8.25
mxima_temperatura_de_bulbo_hmedo,8.333333333333334
mnima_de_la_temperatura_de_bulbo_hmedo,8.0
ndice_de_calor,12.0
mxima_del_indice_de_calor,12.0
time,
aqi,99.16666666666669
aqi_alto,110.33333333333331
pm_1,23.0
alto_pm_1,25.666666666666668
pm_25,34.833333333333336
alto_pm_25,39.25
pm_10,41.75
alto_pm_10,50.083333333333336
temp,12.0
temp_alta,12.0
temp_baja,12.0
hum,67.33333333333333
alta_hum,67.58333333333333
hum_baja,66.83333333333333
punto_de_roco,6.0
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,6.0
bulbo_hmedo,8.083333333333334
mxima_temperatura_de_bulbo_hmedo,8.416666666666666
mnima_de_la_temperatura_de_bulbo_hmedo,8.0
ndice_de_calor,11.5
mxima_del_indice_de_calor,11.666666666666666
time,
aqi,106.08333333333331
aqi_alto,117.25
pm_1,24.916666666666668
alto_pm_1,27.75
pm_25,37.41666666666666
alto_pm_25,42.083333333333336
pm_10,45.833333333333336
alto_pm_10,53.5
temp,12.0
temp_alta,12.0
temp_baja,12.0
hum,69.58333333333333
alta_hum,69.66666666666667
hum_baja,69.0
punto_de_roco,6.0
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,6.0
bulbo_hmedo,8.0
mxima_temperatura_de_bulbo_hmedo,8.0
mnima_de_la_temperatura_de_bulbo_hmedo,8.0
ndice_de_calor,11.0
mxima_del_indice_de_calor,11.0
time,
aqi,109.25
aqi_alto,125.16666666666669
pm_1,25.5
alto_pm_1,29.83333333333333
pm_25,38.833333333333336
alto_pm_25,45.91666666666666
pm_10,48.0
alto_pm_10,59.083333333333336
temp,11.083333333333334
temp_alta,11.083333333333334
temp_baja,11.0
hum,71.0
alta_hum,71.16666666666667
hum_baja,70.58333333333333
punto_de_roco,6.0
mxima_del_punto_de_roco,6.0
mnima_del_punto_de_roco,6.0
bulbo_hmedo,8.0
mxima_temperatura_de_bulbo_hmedo,8.0
mnima_de_la_temperatura_de_bulbo_hmedo,8.0
ndice_de_calor,11.0
mxima_del_indice_de_calor,11.0
time,
aqi,121.0
aqi_alto,131.41666666666666
pm_1,29.0
alto_pm_1,31.83333333333333
pm_25,43.583333333333336
alto_pm_25,47.833333333333336
pm_10,54.5
alto_pm_10,61.833333333333336
temp,14.333333333333334
temp_alta,14.5
temp_baja,13.833333333333334
hum,62.16666666666666
alta_hum,64.16666666666667
hum_baja,62.16666666666666
punto_de_roco,7.25
mxima_del_punto_de_roco,7.416666666666667
mnima_del_punto_de_roco,7.0
bulbo_hmedo,9.833333333333334
mxima_temperatura_de_bulbo_hmedo,10.0
mnima_de_la_temperatura_de_bulbo_hmedo,9.416666666666666
ndice_de_calor,13.833333333333334
mxima_del_indice_de_calor,13.833333333333334
time,
aqi,122.0
aqi_alto,133.5
